Label,LeftEyebrow,RightEyebrow,LeftLip,RightLip,LipHeight,LipWidth,LeftEyeHeight,LeftEyeWidth,RightEyeHeight,RightEyeWidth,LipsToNose,NoseHeight,NoseWidth,LeftEyeToLeftLip,RightEyeToRightLip
Sadness,5.481874,5.356221,5.44624,5.793346,1.169521,4.194712,1.105685,2.244028,1.132054,1.215372,2.168643,11.00678,6.867074,3.486806,3.20155
Sadness,4.822595,4.90371,4.108009,4.083616,0.6666667,2.409091,1.120616,2.349893,1.166685,1.244332,1.666667,10.48153,6.030769,3.829548,3.720164
Sadness,4.875895,5.043534,4.132739,4.120631,0.6509872,2.52386,1.126692,2.311742,1.207017,1.245136,1.65087,10.73278,6.188558,3.630508,3.677233
Sadness,5.23617,5.378129,4.48993,4.468842,0.8094465,2.829467,1.094759,2.358438,1.148601,1.194473,1.808227,12.65407,6.179959,3.547,3.597609
Sadness,5.51297,5.739691,4.474689,4.311348,0.7755102,2.755404,1.140834,2.424836,1.19359,1.242893,1.77551,12.62052,6.005799,3.470339,3.876265
Sadness,4.84683,5.000287,4.80025,4.77059,0.8088977,3.596516,1.057626,2.594692,1.045173,1.087539,1.808875,13.67017,6.711426,3.409269,3.72681
Sadness,4.804477,5.076538,4.978645,4.93762,0.8683698,3.799432,1.059512,2.679095,1.036358,1.084861,1.868127,13.35753,6.892487,3.439133,3.754517
Sadness,5.219191,5.041044,6.279664,6.27952,1.99611,5.183673,1.146563,2.380869,1.077101,1.174817,2.995333,13.38843,7.48733,3.73501,3.497899
Sadness,5.151485,5.055648,10.88746,11.15985,4.961777,9.677889,1.140175,2.467567,1.178361,1.199257,5.956573,13.37652,10.83446,3.835518,3.471464
Sadness,5.06114,5.05227,4.117339,4.224386,0.6908052,2.442365,1.15283,2.236919,1.137841,1.173627,1.690377,8.925684,5.545615,3.278729,3.416537
Sadness,5.13106,5.306181,4.409826,4.298078,1.073807,3.00085,1.380537,2.731085,1.197342,1.26561,2.07266,14.52943,6.582628,3.68627,3.643689
Sadness,4.948993,4.847912,4.940443,5.377705,1.416667,3.587207,1.073751,2.532146,1.126793,1.208583,2.416667,12.2405,6.894547,3.460632,3.23525
Sadness,4.859673,4.722585,4.881697,4.881697,1.461538,3.230769,1.170141,2.855494,1.162476,1.25741,2.461539,12.42944,6.707954,3.323815,3.239427
Sadness,5.628188,5.370183,4.997753,5.591762,1.833333,4.086733,1.063015,2.418677,1.176697,1.183938,2.833333,10.88013,7.01758,3.848548,3.18554
Sadness,5.313827,5.548395,5.158963,5.25038,1.002826,4.039662,1.215304,2.451701,1.133578,1.241974,1.998584,12.36917,6.917899,3.370686,3.265236
Sadness,5.498793,4.784528,4.979525,5.243751,1.110264,3.63501,1.150447,2.455486,1.236694,1.274755,2.107893,9.336472,6.449393,3.666113,3.34903
Sadness,5.295532,6.084968,5.486375,5.573283,2,4.176885,1.151086,2.490984,1.309012,1.355669,3,10.95617,7.156988,3.68571,3.501281
Fear,4.931266,5.171553,4.308252,4.227938,0.9040507,2.808746,1.213729,2.158776,1.291218,1.311527,1.903943,10.82087,6.094601,4.610664,3.861383
Fear,5.510576,5.342105,4.792727,5.020166,1.411904,2.958575,1.168206,2.208273,1.147855,1.229452,2.411903,8.938357,6.542133,3.517624,3.501042
Fear,7.155505,6.850994,4.120177,4.504363,0.7890799,2.745317,1.315086,2.331588,1.290171,1.376043,1.787621,9.992341,6.088951,4.150611,3.405602
Fear,4.885119,5.030431,4.66223,4.583139,1.108647,3.173238,1.220499,2.295467,1.306225,1.38576,2.108197,11.77044,6.42901,3.845457,3.443265
Fear,5.663651,5.51775,4.726923,4.858615,1.11812,3.254335,1.178177,2.144365,1.149168,1.217761,2.117331,11.04734,6.364208,3.934866,4.016328
Fear,5.831925,5.518507,5.94427,5.922379,1.999375,4.625987,1.185393,2.21068,1.226873,1.314088,2.999167,12.95978,7.546963,3.661902,3.599157
